GNPS_annotation	Curated_GNPS_Annotation	Inchi_whole string	SMILES_canonical	Structural_Class	Structural_Subclass	Structural_Subclass2	Source_GFOP	Source	Source_Sub1	Source_Sub2	Drug_Info_1	Drug_Info_2	Bioactivity_boolean	Bioactivity_Known	Origin_Known	Sample_Type_Detected_In_Food	Sample_Type_Detected_In_HumanFeces	Project_Vital_Foodomics	Project_Vital_AGP1	Comment	Reference
Massbank:EA019911 Trimethoprim|2,4-Diamino-5-(3,4,5-trimethoxybenzyl)pyrimidine|5-[(3,4,5-trimethoxyphenyl)methyl]pyrimidine-2,4-diamine	Trimethoprim	InChI=1S/C14H18N4O3/c1-19-10-5-8(6-11(20-2)12(10)21-3)4-9-7-17-14(16)18-13(9)15/h5-7H,4H2,1-3H3,(H4,15,16,17,18)	COC1=CC(=CC(=C1OC)OC)CC2=CN=C(N=C2N)N	drug	drug		antimicrobial	drug	drug	drug	antibiotic		yes	pharmaceutical		yes	yes	yes	yes		https://pubchem.ncbi.nlm.nih.gov/compound/5578
Spectral Match to Trimethoprim from NIST14	Trimethoprim	InChI=1S/C14H18N4O3/c1-19-10-5-8(6-11(20-2)12(10)21-3)4-9-7-17-14(16)18-13(9)15/h5-7H,4H2,1-3H3,(H4,15,16,17,18)	COC1=CC(=CC(=C1OC)OC)CC2=CN=C(N=C2N)N	drug	drug		antimicrobial	drug	drug	drug	antibiotic		yes	pharmaceutical		yes	yes	yes	yes		https://pubchem.ncbi.nlm.nih.gov/compound/5578
MLS001148451-01!TRIMETHOPRIM LACTATE	Trimethoprim	InChI=1S/C14H18N4O3/c1-19-10-5-8(6-11(20-2)12(10)21-3)4-9-7-17-14(16)18-13(9)15/h5-7H,4H2,1-3H3,(H4,15,16,17,18)	COC1=CC(=CC(=C1OC)OC)CC2=CN=C(N=C2N)N	drug	drug		antimicrobial	drug	drug	drug	antibiotic		yes	pharmaceutical		yes	yes	yes	yes		https://pubchem.ncbi.nlm.nih.gov/compound/5578
Spectral Match to Unoprostone from NIST14	Unoprostone	InChI=1S/C22H38O5/c1-2-3-4-5-8-11-17(23)14-15-19-18(20(24)16-21(19)25)12-9-6-7-10-13-22(26)27/h6,9,18-21,24-25H,2-5,7-8,10-16H2,1H3,(H,26,27)/b9-6-/t18-,19-,20+,21-/m1/s1	CCCCCCCC(=O)CCC1C(CC(C1CC=CCCCC(=O)O)O)O	drug	drug		drug	drug	drug	drug	steroid		yes	pharmaceutical		yes		yes	no		https://pubchem.ncbi.nlm.nih.gov/compound/Unoprostone#section=Top
Venlafaxine hydrochloride	Venlafaxine	InChI=1S/C17H27NO2/c1-18(2)13-16(17(19)11-5-4-6-12-17)14-7-9-15(20-3)10-8-14/h7-10,16,19H,4-6,11-13H2,1-3H3	CN(C)CC(C1=CC=C(C=C1)OC)C2(CCCCC2)O	drug	drug		drug	drug	drug	drug	selective serotonin and norepinephrine reuptake inhibitor		yes	pharmaceutical		yes	yes	yes	yes		https://pubchem.ncbi.nlm.nih.gov/compound/5656#section=Top
MassbankEU:ET190201 VEN_294.2063_13.1|Venlafaxine N-Oxide|2-(1-hydroxycyclohexyl)-2-(4-methoxyphenyl)-N,N-dimethylethanamine oxide	Venlafaxine N-Oxide	InChI=1S/C17H27NO3/c1-18(2,20)13-16(17(19)11-5-4-6-12-17)14-7-9-15(21-3)10-8-14/h7-10,16,19H,4-6,11-13H2,1-3H3	C[N+](C)(CC(C1=CC=C(C=C1)OC)C2(CCCCC2)O)[O-]	drug	drug		drug	drug	drug metabolite	drug metabolite	serotonin and noradrenaline reuptake inhibitor	venlafaxine metabolite	yes	pharmaceutical		yes	yes	yes	yes		https://pubchem.ncbi.nlm.nih.gov/compound/76559643#section=Top
MoNA:836524 2-(1-hydroxycyclohexyl)-2-(4-methoxyphenyl)-N,N-dimethylethanamine oxide	Venlafaxine N-Oxide	InChI=1S/C17H27NO3/c1-18(2,20)13-16(17(19)11-5-4-6-12-17)14-7-9-15(21-3)10-8-14/h7-10,16,19H,4-6,11-13H2,1-3H3	C[N+](C)(CC(C1=CC=C(C=C1)OC)C2(CCCCC2)O)[O-]	drug	drug		drug	drug	drug metabolite	drug metabolite	serotonin and noradrenaline reuptake inhibitor	venlafaxine metabolite	yes	pharmaceutical		yes	yes	yes	yes		https://pubchem.ncbi.nlm.nih.gov/compound/76559643#section=Top
zucapsaicin	Zucapsaicin	InChI=1S/C18H27NO3/c1-14(2)8-6-4-5-7-9-18(21)19-13-15-10-11-16(20)17(12-15)22-3/h6,8,10-12,14,20H,4-5,7,9,13H2,1-3H3,(H,19,21)/b8-6-	CC(C)C=CCCCCC(=O)NCC1=CC(=C(C=C1)O)OC	drug	drug		drug	drug	drug	drug	analgesic		yes	pharmaceutical		no	no	no	no		https://pubchem.ncbi.nlm.nih.gov/compound/1548942
5'-Hydroxymethyl-5'-desmethylmeloxicam	5'-Hydroxymethyl-5'-desmethylmeloxicam			drug	drug metabolite		drug	drug	drug metabolite	drug metabolite										meloxicam metabolite	
5-O-Desmethylomeprazole sulfide	5-O-Desmethylomeprazole sulfide			drug	drug metabolite		drug	drug	drug metabolite	drug metabolite										omeprazole metabolite	
Cephalexin	Cephalexin	InChI=1S/C16H17N3O4S/c1-8-7-24-15-11(14(21)19(15)12(8)16(22)23)18-13(20)10(17)9-5-3-2-4-6-9/h2-6,10-11,15H,7,17H2,1H3,(H,18,20)(H,22,23)/t10-,11-,15-/m1/s1	CC1=C(N2C(C(C2=O)NC(=O)C(C3=CC=CC=C3)N)SC1)C(=O)O	drug	drug		antimicrobial	drug	drug	drug	antibiotic			yes	pharmaceutical						https://pubchem.ncbi.nlm.nih.gov/compound/27447
MLS000028587-01!MELOXICAM	Meloxicam	InChI=1S/C14H13N3O4S2/c1-8-7-15-14(22-8)16-13(19)11-12(18)9-5-3-4-6-10(9)23(20,21)17(11)2/h3-7,18H,1-2H3,(H,15,16,19)	CC1=CN=C(S1)NC(=O)C2=C(C3=CC=CC=C3S(=O)(=O)N2C)O	drug	drug		drug	drug	drug	drug	analgesic			pharmaceutical		yes	yes	yes	yes		https://pubchem.ncbi.nlm.nih.gov/compound/54677470#section=Top
Omeprazole sulfone	Omeprazole sulfone	InChI=1S/C17H19N3O4S/c1-10-8-18-15(11(2)16(10)24-4)9-25(21,22)17-19-13-6-5-12(23-3)7-14(13)20-17/h5-8H,9H2,1-4H3,(H,19,20)	CC1=CN=C(C(=C1OC)C)CS(=O)(=O)C2=NC3=C(N2)C=C(C=C3)OC	drug	drug metabolite		drug	drug	drug	drug metabolite											https://pubchem.ncbi.nlm.nih.gov/compound/145900
Spectral Match to Famotidine from NIST14	Famotidine	InChI=1S/C8H15N7O2S3/c9-6(15-20(12,16)17)1-2-18-3-5-4-19-8(13-5)14-7(10)11/h4H,1-3H2,(H2,9,15)(H2,12,16,17)(H4,10,11,13,14)	C1=C(N=C(S1)N=C(N)N)CSCCC(=NS(=O)(=O)N)N	drug	drug		drug	drug	drug	drug	histamine H2-receptor antagonist									inhibition of gastric secretion	https://pubchem.ncbi.nlm.nih.gov/compound/5702160
Acetic acid, 2,2'-[oxybis(2,1-ethanediyloxy)]bis-	Acetic acid, 2,2'-[oxybis(2,1-ethanediyloxy)]bis-	literature limited	literature limited	literature limited	literature limited	literature limited	environmental	environmental	environmental	unknown	literature limited	literature limited				yes	yes	yes	yes	literature limited	literature limited
Aleuritic acid	Aleuritic acid	InChI=1S/C16H32O5/c17-13-9-5-4-7-11-15(19)14(18)10-6-2-1-3-8-12-16(20)21/h14-15,17-19H,1-13H2,(H,20,21)	C(CCCC(C(CCCCCCO)O)O)CCCC(=O)O	lipid	fatty acid		environmental	environmental	environmental	unknown						yes	yes	yes	yes	major ingredient in shellac	https://pubchem.ncbi.nlm.nih.gov/compound/9_10_16-Trihydroxyhexadecanoic_acid#section=Top
Spectral Match to Avobenzone from NIST14	Avobenzone	InChI=1S/C20H22O3/c1-20(2,3)16-9-5-14(6-10-16)18(21)13-19(22)15-7-11-17(23-4)12-8-15/h5-12H,13H2,1-4H3	CC(C)(C)C1=CC=C(C=C1)C(=O)CC(=O)C2=CC=C(C=C2)OC	other	flavonoid	dihydrochalcone	environmental	environmental	personal care products	UV protectant						yes	yes	yes	yes	sunscreens and cosmetics	https://pubchem.ncbi.nlm.nih.gov/compound/Avobenzone#section=Top
Pesticide4_Azoxystrobin_C22H17N3O5_Methyl (2E)-2-(2-{[6-(2-cyanophenoxy)pyrimidin-4-yl]oxy}phenyl)-3-methoxyprop-2-enoate	Azoxystrobin	InChI=1S/C22H17N3O5/c1-27-13-17(22(26)28-2)16-8-4-6-10-19(16)30-21-11-20(24-14-25-21)29-18-9-5-3-7-15(18)12-23/h3-11,13-14H,1-2H3/b17-13+	COC=C(C1=CC=CC=C1OC2=NC=NC(=C2)OC3=CC=CC=C3C#N)C(=O)OC	other		pyrimidine	antimicrobial	environmental	environmental	biocide			yes	fungicidal;pesticidal		yes	yes	yes	yes		https://pubchem.ncbi.nlm.nih.gov/compound/3034285
Pesticide4_Benalaxyl_C20H23NO3_Methyl N-(2,6-dimethylphenyl)-N-(phenylacetyl)alaninate	Benalaxyl	InChI=1S/C20H23NO3/c1-14-9-8-10-15(2)19(14)21(16(3)20(23)24-4)18(22)13-17-11-6-5-7-12-17/h5-12,16H,13H2,1-4H3	CC1=C(C(=CC=C1)C)N(C(C)C(=O)OC)C(=O)CC2=CC=CC=C2	other		methyl ester	antimicrobial	environmental	environmental	biocide			yes	fungicidal;pesticidal		yes	yes	yes	yes		https://pubchem.ncbi.nlm.nih.gov/compound/51369
Benzalkonium chloride (C12)	Benzalkonium chloride (C12)			other			antimicrobial	environmental	environmental	biocide			yes	antimicrobial		yes	yes	yes	yes		
MassbankEU:SM880203 Benzophenone-4|Sulisobenzone|5-benzoyl-4-hydroxy-2-methoxybenzenesulfonic acid	Benzophenone-4	InChI=1S/C14H12O6S/c1-20-12-8-11(15)10(7-13(12)21(17,18)19)14(16)9-5-3-2-4-6-9/h2-8,15H,1H3,(H,17,18,19)	COC1=C(C=C(C(=C1)O)C(=O)C2=CC=CC=C2)S(=O)(=O)O			benzophenone	environmental	environmental	personal care products	UV protectant						yes	yes	yes	yes		https://pubchem.ncbi.nlm.nih.gov/compound/19988
Spectral Match to Benzyl butyl phthalate from NIST14	Benzyl butyl phthalate	InChI=1S/C19H20O4/c1-2-3-13-22-18(20)16-11-7-8-12-17(16)19(21)23-14-15-9-5-4-6-10-15/h4-12H,2-3,13-14H2,1H3	CCCCOC(=O)C1=CC=CC=C1C(=O)OCC2=CC=CC=C2			phthalate	environmental	environmental	environmental	phthalate						yes	yes	yes	yes		https://pubchem.ncbi.nlm.nih.gov/compound/Benzyl_butyl_phthalate
Benzyldimethylstearylammonium cation	Benzyldimethylstearylammonium cation			other			antimicrobial	environmental	environmental	biocide						yes	yes	yes	yes		
Spectral Match to Bis(2-ethylhexyl) phthalate from NIST14	Bis(2-ethylhexyl) phthalate			other	phthalate		environmental	environmental	environmental	phthalate						yes	yes	yes	yes		https://en.wikipedia.org/wiki/Bis(2-ethylhexyl)_phthalate
Bromadiolone	Bromadiolone	InChI=1S/C30H23BrO4/c31-23-16-14-20(15-17-23)19-10-12-22(13-11-19)26(32)18-25(21-6-2-1-3-7-21)28-29(33)24-8-4-5-9-27(24)35-30(28)34/h1-17,25-26,32-33H,18H2	C1=CC=C(C=C1)C(CC(C2=CC=C(C=C2)C3=CC=C(C=C3)Br)O)C4=C(C5=CC=CC=C5OC4=O)O	other			biocide, other	environmental	environmental	biocide			yes	pesticidal	rodenticide	yes	yes	yes	yes	rodenticide	https://pubchem.ncbi.nlm.nih.gov/compound/54680085#section=Top
Spectral Match to Butylphosphonic acid from NIST14	Butylphosphonic acid	InChI=1S/C4H11O3P/c1-2-3-4-8(5,6)7/h2-4H2,1H3,(H2,5,6,7)	CCCCP(=O)(O)O	other		phosphonic acid	environmental	environmental	environmental	organophosphate						yes	yes	yes	yes		https://pubchem.ncbi.nlm.nih.gov/compound/Butylphosphonic
Pesticide10_Carbendazim_C9H9N3O2_mecarzole	Carbendazim	InChI=1S/C9H9N3O2/c1-14-9(13)12-8-10-6-4-2-3-5-7(6)11-8/h2-5H,1H3,(H2,10,11,12,13)	COC(=O)NC1=NC2=CC=CC=C2N1	other			antimicrobial	environmental	environmental	biocide			yes	fungicidal;pesticidal		yes	yes	yes	yes		https://pubchem.ncbi.nlm.nih.gov/compound/Carbendazim
Chlorhexidine	Chlorhexidine	InChI=1S/C22H30Cl2N10/c23-15-5-9-17(10-6-15)31-21(27)33-19(25)29-13-3-1-2-4-14-30-20(26)34-22(28)32-18-11-7-16(24)8-12-18/h5-12H,1-4,13-14H2,(H5,25,27,29,31,33)(H5,26,28,30,32,34)	C1=CC(=CC=C1NC(=NC(=NCCCCCCN=C(N)N=C(N)NC2=CC=C(C=C2)Cl)N)N)Cl	other			environmental	environmental	environmental	biocide						yes	yes	yes	yes		https://pubchem.ncbi.nlm.nih.gov/compound/9552079#section=Top
CocamidopropylBetaine	Cocamidopropyl betaine	InChI=1S/C19H38N2O3/c1-4-5-6-7-8-9-10-11-12-14-18(22)20-15-13-16-21(2,3)17-19(23)24/h4-17H2,1-3H3,(H-,20,22,23,24)	InChI=1S/C19H38N2O3/c1-4-5-6-7-8-9-10-11-12-14-18(22)20-15-13-16-21(2,3)17-19(23)24/h4-17H2,1-3H3,(H-,20,22,23,24)	other			environmental	environmental	personal care products	surfactant						yes	yes	yes	yes	surfactant	https://pubchem.ncbi.nlm.nih.gov/compound/20280#section=Top
CocamidoprpylBetaine	Cocamidopropyl betaine	InChI=1S/C19H38N2O3/c1-4-5-6-7-8-9-10-11-12-14-18(22)20-15-13-16-21(2,3)17-19(23)24/h4-17H2,1-3H3,(H-,20,22,23,24)	InChI=1S/C19H38N2O3/c1-4-5-6-7-8-9-10-11-12-14-18(22)20-15-13-16-21(2,3)17-19(23)24/h4-17H2,1-3H3,(H-,20,22,23,24)	other			environmental	environmental	personal care products	surfactant						yes	yes	yes	yes	surfactant	https://pubchem.ncbi.nlm.nih.gov/compound/20280#section=Top
trans-8, trans-10-Dodecadien-1-ol	Codlemone	InChI=1S/C12H22O/c1-2-3-4-5-6-7-8-9-10-11-12-13/h2-5,13H,6-12H2,1H3/b3-2+,5-4+	CC=CC=CCCCCCCCO	lipid	fatty alcohol		insecticide	environmental	environmental	biocide			yes	insecticidal;pesticidal		yes	yes	yes	yes		https://pubchem.ncbi.nlm.nih.gov/compound/Codlelure#section=Top
Di(2-nonyl) phthalate	Di(2-nonyl) phthalate	literature limited	literature limited	other	literature limited	phthalate	environmental	environmental	environmental	phthalate	literature limited	literature limited				yes	yes	yes	yes	literature limited	literature limited
MoNA:936698 DBP	Dibutyl phthalate	InChI=1S/C16H22O4/c1-3-5-11-19-15(17)13-9-7-8-10-14(13)16(18)20-12-6-4-2/h7-10H,3-6,11-12H2,1-2H3	CCCCOC(=O)C1=CC=CC=C1C(=O)OCCCC	other		phthalate	environmental	environmental	environmental	phthalate						yes	yes	yes	yes		https://pubchem.ncbi.nlm.nih.gov/compound/3026
Pesticide6_Difenoconazole Isomer 1*_C19H17Cl2N3O3_1H-1,2,4-Triazole, 1-[[2-[2-chloro-4-(4-chlorophenoxy)phenyl]-4-methyl-1,3-dioxolan-2-yl]methyl]-	Difenoconazole	InChI=1S/C19H17Cl2N3O3/c1-13-9-25-19(27-13,10-24-12-22-11-23-24)17-7-6-16(8-18(17)21)26-15-4-2-14(20)3-5-15/h2-8,11-13H,9-10H2,1H3	CC1COC(O1)(CN2C=NC=N2)C3=C(C=C(C=C3)OC4=CC=C(C=C4)Cl)Cl	other		triazole	antimicrobial	environmental	environmental	biocide			yes	fungicidal;pesticidal		yes	yes	yes	yes		https://pubchem.ncbi.nlm.nih.gov/compound/Difenoconazole
Dihexadecyldimethylammonium cation	Dihexadecyldimethylammonium cation			other			environmental	environmental	environmental	biocide						yes	yes	yes	yes		
Diisodecyl phthalate	Diisodecyl phthalate	InChI=1S/C28H46O4/c1-23(2)17-11-7-5-9-15-21-31-27(29)25-19-13-14-20-26(25)28(30)32-22-16-10-6-8-12-18-24(3)4/h13-14,19-20,23-24H,5-12,15-18,21-22H2,1-4H3	CC(C)CCCCCCCOC(=O)C1=CC=CC=C1C(=O)OCCCCCCCC(C)C	other		phthalate	environmental	environmental	environmental	phthalate						yes	yes	yes	yes		https://pubchem.ncbi.nlm.nih.gov/compound/33599
Dimethyldioctadecylammonium cation	Dimethyldioctadecylammonium cation			other			environmental	environmental	environmental	biocide						yes	yes	yes	yes		
Dioctyl phthalate	Dioctyl phthalate	InChI=1S/C24H38O4/c1-3-5-7-9-11-15-19-27-23(25)21-17-13-14-18-22(21)24(26)28-20-16-12-10-8-6-4-2/h13-14,17-18H,3-12,15-16,19-20H2,1-2H3	CCCCCCCCOC(=O)C1=CC=CC=C1C(=O)OCCCCCCCC	other		phthalate	environmental	environmental	environmental	phthalate						yes	yes	yes	yes		https://pubchem.ncbi.nlm.nih.gov/compound/8346#section=2D-Structure
Dodecanedioic acid	Dodecanedioic acid	InChI=1S/C12H22O4/c13-11(14)9-7-5-3-1-2-4-6-8-10-12(15)16/h1-10H2,(H,13,14)(H,15,16)	C(CCCCCC(=O)O)CCCCC(=O)O	lipid			environmental	environmental	environmental	plasticizer						yes	yes	yes	yes	antiseptics, top-grade coatings, painting materials, corrosion inhibitors, surfactants	https://pubchem.ncbi.nlm.nih.gov/compound/dodecanedioic_acid#section=Top
Ionomycin	Ionomycin	InChI=1S/C41H72O9/c1-25(21-29(5)34(43)24-35(44)30(6)22-27(3)20-26(2)14-15-38(46)47)12-11-13-28(4)39(48)31(7)36(45)23-33-16-18-41(10,49-33)37-17-19-40(9,50-37)32(8)42/h11,13,24-33,36-37,39,42-43,45,48H,12,14-23H2,1-10H3,(H,46,47)/b13-11+,34-24-/t25-,26-,27+,28-,29-,30+,31+,32-,33+,36+,37-,39-,40+,41+/m1/s1	CC(CCC(=O)O)CC(C)CC(C)C(=O)C=C(C(C)CC(C)CC=CC(C)C(C(C)C(CC1CCC(O1)(C)C2CCC(O2)(C)C(C)O)O)O)O	lipid	fatty acid		biocide, other	environmental	environmental	biocide			yes	ionophore		yes	yes	yes	yes		https://pubchem.ncbi.nlm.nih.gov/compound/6912226
Isoxadifen-ethyl	Isoxadifen-ethyl	InChI=1S/C18H17NO3/c1-2-21-17(20)16-13-18(22-19-16,14-9-5-3-6-10-14)15-11-7-4-8-12-15/h3-12H,2,13H2,1H3	CCOC(=O)C1=NOC(C1)(C2=CC=CC=C2)C3=CC=CC=C3	other		ethyl ester	environmental	environmental	environmental	biocide						yes	yes	yes	yes		https://pubchem.ncbi.nlm.nih.gov/compound/Isoxadifen-ethyl#section=Agrochemical-Information
MassbankEU:SM876702 Lauryl diethanolamide|N,N-bis(2-hydroxyethyl)dodecanamide	Lauric Diethanolamide	InChI=1S/C16H33NO3/c1-2-3-4-5-6-7-8-9-10-11-16(20)17(12-14-18)13-15-19/h18-19H,2-15H2,1H3	CCCCCCCCCCCC(=O)N(CCO)CCO	lipid	fatty acid		food additive	environmental	personal care products	emulsifier					soaps;handwashing;food additive	yes	yes	yes	yes	cosmetic products;N-acyl Amines	https://pubchem.ncbi.nlm.nih.gov/compound/N_N-Bis_2-hydroxyethyl_dodecanamide#section=Top;https://en.wikipedia.org/wiki/Diethanolamide
Spectral Match to Monoelaidin from NIST14	Monoelaidin	InChI=1S/C21H40O4/c1-2-3-4-5-6-7-8-9-10-11-12-13-14-15-16-17-21(24)25-19-20(23)18-22/h9-10,20,22-23H,2-8,11-19H2,1H3/b10-9+	CCCCCCCCC=CCCCCCCCC(=O)OCC(CO)O	lipid	monoglyceride		environmental	environmental	environmental	surfactant						yes	yes	yes	yes		https://pubchem.ncbi.nlm.nih.gov/compound/Monoelaidin#section=2D-Structure
Nonactin	Nonactin	InChI=1S/C40H64O12/c1-21-17-29-9-13-34(49-29)26(6)38(42)46-23(3)19-31-11-15-36(51-31)28(8)40(44)48-24(4)20-32-12-16-35(52-32)27(7)39(43)47-22(2)18-30-10-14-33(50-30)25(5)37(41)45-21/h21-36H,9-20H2,1-8H3/t21-,22+,23+,24-,25-,26+,27+,28-,29-,30+,31+,32-,33-,34+,35+,36-	CC1CC2CCC(O2)C(C(=O)OC(CC3CCC(O3)C(C(=O)OC(CC4CCC(O4)C(C(=O)OC(CC5CCC(O5)C(C(=O)O1)C)C)C)C)C)C)C	other	macrolide		antimicrobial	environmental	environmental	biocide						yes	yes	yes	yes		https://pubchem.ncbi.nlm.nih.gov/compound/nonactin
Nonapropylene glycol	Nonapropylene glycol	literature limited	literature limited	literature limited	literature limited	literature limited	environmental	environmental	environmental	surfactant	literature limited	literature limited				yes	yes	yes	yes	literature limited	literature limited
MassbankEU:SM814103 Octocrylene|2-Ethylhexyl 2-cyano-3,3-diphenylprop-2-enoate|2-Ethylhexyl 2-cyano-3,3-diphenylacrylate	Octocrylene	InChI=1S/C24H27NO2/c1-3-5-12-19(4-2)18-27-24(26)22(17-25)23(20-13-8-6-9-14-20)21-15-10-7-11-16-21/h6-11,13-16,19H,3-5,12,18H2,1-2H3	CCCCC(CC)COC(=O)C(=C(C1=CC=CC=C1)C2=CC=CC=C2)C#N				environmental	environmental	personal care products	UV protectant						yes	yes	yes	yes	sunscreens and cosmetics	https://pubchem.ncbi.nlm.nih.gov/compound/22571
MoNA:594132 Octocrylene	Octocrylene	InChI=1S/C24H27NO2/c1-3-5-12-19(4-2)18-27-24(26)22(17-25)23(20-13-8-6-9-14-20)21-15-10-7-11-16-21/h6-11,13-16,19H,3-5,12,18H2,1-2H3	CCCCC(CC)COC(=O)C(=C(C1=CC=CC=C1)C2=CC=CC=C2)C#N				environmental	environmental	personal care products	UV protectant						yes	yes	yes	yes	sunscreens and cosmetics	https://pubchem.ncbi.nlm.nih.gov/compound/22571
Octocrylene	Octocrylene	InChI=1S/C24H27NO2/c1-3-5-12-19(4-2)18-27-24(26)22(17-25)23(20-13-8-6-9-14-20)21-15-10-7-11-16-21/h6-11,13-16,19H,3-5,12,18H2,1-2H3	CCCCC(CC)COC(=O)C(=C(C1=CC=CC=C1)C2=CC=CC=C2)C#N				environmental	environmental	personal care products	UV protectant						yes	yes	yes	yes	sunscreens and cosmetics	https://pubchem.ncbi.nlm.nih.gov/compound/22571
Oligomycin A	Oligomycin A	InChI=1S/C45H74O11/c1-12-34-17-15-13-14-16-27(4)42(51)44(11,53)43(52)32(9)40(50)31(8)39(49)30(7)38(48)26(3)18-21-37(47)54-41-29(6)35(20-19-34)55-45(33(41)10)23-22-25(2)36(56-45)24-28(5)46/h13-15,17-18,21,25-36,38,40-42,46,48,50-51,53H,12,16,19-20,22-24H2,1-11H3/b14-13+,17-15+,21-18+/t25-,26-,27+,28+,29+,30-,31-,32-,33-,34-,35-,36-,38+,40+,41+,42-,44+,45-/m1/s1	CCC1CCC2C(C(C(C3(O2)CCC(C(O3)CC(C)O)C)C)OC(=O)C=CC(C(C(C(=O)C(C(C(C(=O)C(C(C(CC=CC=C1)C)O)(C)O)C)O)C)C)O)C)C			macrolide	antimicrobial	environmental	environmental	biocide			yes	antimicrobial		yes	yes	yes	yes		
2-Hydroxy-4-methoxybenzophenone	Oxybenzone	InChI=1S/C14H12O3/c1-17-11-7-8-12(13(15)9-11)14(16)10-5-3-2-4-6-10/h2-9,15H,1H3	COC1=CC(=C(C=C1)C(=O)C2=CC=CC=C2)O			benzophenone	environmental	environmental	personal care products	UV protectant						yes	yes	yes	yes		https://pubchem.ncbi.nlm.nih.gov/compound/4632
Rhodamine B cation	Rhodamine B	InChI=1S/C28H30N2O3.ClH/c1-5-29(6-2)19-13-15-23-25(17-19)33-26-18-20(30(7-3)8-4)14-16-24(26)27(23)21-11-9-10-12-22(21)28(31)32;/h9-18H,5-8H2,1-4H3;1H	CCN(CC)C1=CC2=C(C=C1)C(=C3C=CC(=[N+](CC)CC)C=C3O2)C4=CC=CC=C4C(=O)O.[Cl-]	other	phenol	dibenzopyran	environmental	environmental	environmental	dye						yes	yes	yes	yes		https://pubchem.ncbi.nlm.nih.gov/compound/6694
Pesticide6_Tebuconazole_C16H22ClN3O_1-(4-Chlorophenyl)-4,4-dimethyl-3-(1H-1,2,4-triazol-1-ylmethyl)-3-pentanol	Tebuconazole	InChI=1S/C16H22ClN3O/c1-15(2,3)16(21,10-20-12-18-11-19-20)9-8-13-4-6-14(17)7-5-13/h4-7,11-12,21H,8-10H2,1-3H3	CC(C)(C)C(CCC1=CC=C(C=C1)Cl)(CN2C=NC=N2)O			azole	antimicrobial	environmental	environmental	biocide			yes	fungicidal;pesticidal		yes	yes	yes	yes		https://pubchem.ncbi.nlm.nih.gov/compound/Tebuconazole
MoNA:2798943 Tri(butoxyethyl)phosphate	Tri(butoxyethyl)phosphate	InChI=1S/C18H39O7P/c1-7-10-13-20-16(4)23-26(19,24-17(5)21-14-11-8-2)25-18(6)22-15-12-9-3/h16-18H,7-15H2,1-6H3	CCCCOC(C)OP(=O)(OC(C)OCCCC)OC(C)OCCCC				environmental	environmental	environmental	organophosphate						yes	yes	yes	yes		https://pubchem.ncbi.nlm.nih.gov/compound/23461823
Pesticide4_Triadimefon_C14H16ClN3O2_2-Butanone, 1-(4-chlorophenoxy)-3,3-dimethyl-1-(1H-1,2,4-triazol-1-yl)-	Triadimefon	InChI=1S/C14H16ClN3O2/c1-14(2,3)12(19)13(18-9-16-8-17-18)20-11-6-4-10(15)5-7-11/h4-9,13H,1-3H3	CC(C)(C)C(=O)C(N1C=NC=N1)OC2=CC=C(C=C2)Cl			azole	antimicrobial	environmental	environmental	biocide			yes	fungicidal;pesticidal		yes	yes	yes	yes	seed and fruit (banana and pineapple)	https://pubchem.ncbi.nlm.nih.gov/compound/triadimefon
Triethylene glycol monobutyl ether	Triethylene glycol monobutyl ether	InChI=1S/C10H22O4/c1-2-3-5-12-7-9-14-10-8-13-6-4-11/h11H,2-10H2,1H3	CCCCOCCOCCOCCO				environmental	environmental	environmental	surfactant						yes	yes	yes	yes		analogy to Tetraethylene glycol ; https://pubchem.ncbi.nlm.nih.gov/compound/8923
Spectral Match to Triphenyl phosphate from NIST14	Triphenyl phosphate	InChI=1S/C18H15O4P/c19-23(20-16-10-4-1-5-11-16,21-17-12-6-2-7-13-17)22-18-14-8-3-9-15-18/h1-15H	C1=CC=C(C=C1)OP(=O)(OC2=CC=CC=C2)OC3=CC=CC=C3				environmental	environmental	environmental	organophosphate						yes	yes	yes	yes		https://pubchem.ncbi.nlm.nih.gov/compound/8289#section=Top
Spectral Match to Triphenylphosphine oxide from NIST14	Triphenyl phosphine oxide	InChI=1S/C18H15OP/c19-20(16-10-4-1-5-11-16,17-12-6-2-7-13-17)18-14-8-3-9-15-18/h1-15H	C1=CC=C(C=C1)P(=O)(C2=CC=CC=C2)C3=CC=CC=C3				environmental	environmental	environmental	organophosphate						yes	yes	yes	yes		https://pubchem.ncbi.nlm.nih.gov/compound/triphenylphosphine_oxide#section=Top
Tris(1,3-dichloro-2-propyl) phosphate	Tris(1,3-dichloro-2-propyl) phosphate	InChI=1S/C9H15Cl6O4P/c10-1-7(2-11)17-20(16,18-8(3-12)4-13)19-9(5-14)6-15/h7-9H,1-6H2	C(C(CCl)OP(=O)(OC(CCl)CCl)OC(CCl)CCl)Cl				environmental	environmental	environmental	organophosphate						yes	yes	yes	yes		https://pubchem.ncbi.nlm.nih.gov/compound/Fyrol_FR_2
